timestamp,window_id,slug,reason,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780393979982,1,btc-updown-5m-1780394100,d_v3_entry_high_atr_delta_neutral_atr_59.15_combined_1.01_spread_0.01_budget_mult_0.85,59.1500,0.5100,0.5000,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.50000000
1780394279984,2,btc-updown-5m-1780394400,d_v3_entry_high_atr_delta_neutral_atr_59.15_combined_1.02_spread_0.00_budget_mult_0.85,59.1500,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780394579985,3,btc-updown-5m-1780394700,d_v3_entry_high_atr_delta_neutral_atr_59.15_combined_1.02_spread_0.02_budget_mult_0.85,59.1500,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780394879985,4,btc-updown-5m-1780395000,d_v3_entry_high_atr_delta_neutral_atr_48.59_combined_1.02_spread_0.00_budget_mult_0.85,48.5857,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780395179987,5,btc-updown-5m-1780395300,d_v3_entry_high_atr_delta_neutral_atr_59.35_combined_1.02_spread_0.02_budget_mult_0.85,59.3500,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780395479985,6,btc-updown-5m-1780395600,d_v3_entry_high_atr_delta_neutral_atr_65.61_combined_1.02_spread_0.00_budget_mult_0.85,65.6071,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780395779989,7,btc-updown-5m-1780395900,d_v3_entry_high_atr_delta_neutral_atr_60.84_combined_1.02_spread_0.00_budget_mult_0.85,60.8357,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780396079990,8,btc-updown-5m-1780396200,d_v3_entry_high_atr_delta_neutral_atr_51.71_combined_1.02_spread_0.00_budget_mult_0.85,51.7143,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780396379990,9,btc-updown-5m-1780396500,d_v3_entry_high_atr_delta_neutral_atr_47.41_combined_1.02_spread_0.02_budget_mult_0.85,47.4143,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780396679990,10,btc-updown-5m-1780396800,d_v3_entry_high_atr_delta_neutral_atr_47.46_combined_1.02_spread_0.02_budget_mult_0.85,47.4571,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780396979994,11,btc-updown-5m-1780397100,d_v3_entry_high_atr_delta_neutral_atr_49.06_combined_1.02_spread_0.00_budget_mult_0.85,49.0643,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780397279994,12,btc-updown-5m-1780397400,d_v3_entry_high_atr_delta_neutral_atr_45.26_combined_1.02_spread_0.02_budget_mult_0.85,45.2643,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780397579995,13,btc-updown-5m-1780397700,d_v3_entry_normal_atr_balanced_atr_38.06_combined_1.02_spread_0.02_budget_mult_1.00,38.0643,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780397879995,14,btc-updown-5m-1780398000,d_v3_entry_normal_atr_balanced_atr_42.43_combined_1.02_spread_0.02_budget_mult_1.00,42.4286,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780398179998,15,btc-updown-5m-1780398300,d_v3_entry_normal_atr_balanced_atr_40.26_combined_1.02_spread_0.00_budget_mult_1.00,40.2643,0.5100,0.5100,1.0000,0.5600,30.0000,15.0000,29.41176471,15.0000,29.41176471
1780398479998,16,btc-updown-5m-1780398600,d_v3_entry_normal_atr_balanced_atr_35.72_combined_1.02_spread_0.00_budget_mult_1.00,35.7214,0.5100,0.5100,1.0000,0.5600,30.0000,15.0000,29.41176471,15.0000,29.41176471
1780398779999,17,btc-updown-5m-1780398900,d_v3_entry_normal_atr_balanced_atr_34.09_combined_1.02_spread_0.02_budget_mult_1.00,34.0929,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780399080002,18,btc-updown-5m-1780399200,d_v3_entry_normal_atr_balanced_atr_36.74_combined_1.02_spread_0.02_budget_mult_1.00,36.7429,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780399379001,19,btc-updown-5m-1780399500,d_v3_entry_normal_atr_balanced_atr_42.62_combined_1.02_spread_0.02_budget_mult_1.00,42.6214,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780399979005,21,btc-updown-5m-1780400100,d_v3_entry_normal_atr_balanced_atr_43.41_combined_1.02_spread_0.00_budget_mult_1.00,43.4143,0.5100,0.5100,1.0000,0.5600,30.0000,15.0000,29.41176471,15.0000,29.41176471
1780400279007,22,btc-updown-5m-1780400400,d_v3_entry_normal_atr_balanced_atr_40.14_combined_1.02_spread_0.02_budget_mult_1.00,40.1357,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780400579006,23,btc-updown-5m-1780400700,d_v3_entry_normal_atr_balanced_atr_38.97_combined_1.02_spread_0.00_budget_mult_1.00,38.9714,0.5100,0.5100,1.0000,0.5600,30.0000,15.0000,29.41176471,15.0000,29.41176471
1780400879010,24,btc-updown-5m-1780401000,d_v3_entry_normal_atr_balanced_atr_34.73_combined_1.02_spread_0.02_budget_mult_1.00,34.7286,0.5200,0.5000,1.0000,0.5600,30.0000,13.2000,25.38461538,16.8000,33.60000000
1780401179011,25,btc-updown-5m-1780401300,d_v3_entry_normal_atr_balanced_directional_atr_30.27_combined_1.01_spread_0.05_budget_mult_0.85,30.2714,0.5300,0.4800,0.8500,0.5000,25.5000,12.7500,24.05660377,12.7500,26.56250000
1780401479011,26,btc-updown-5m-1780401600,d_v3_entry_normal_atr_balanced_atr_33.71_combined_1.01_spread_0.01_budget_mult_1.00,33.7143,0.5100,0.5000,1.0000,0.5600,30.0000,13.2000,25.88235294,16.8000,33.60000000
1780401779012,27,btc-updown-5m-1780401900,d_v3_entry_normal_atr_balanced_directional_atr_43.75_combined_1.02_spread_0.04_budget_mult_0.85,43.7500,0.5300,0.4900,0.8500,0.5000,25.5000,12.7500,24.05660377,12.7500,26.02040816
1780402079015,28,btc-updown-5m-1780402200,d_v3_entry_high_atr_delta_neutral_atr_60.98_combined_1.02_spread_0.00_budget_mult_0.85,60.9786,0.5100,0.5100,0.8500,0.5000,25.5000,12.7500,25.00000000,12.7500,25.00000000
1780402379015,29,btc-updown-5m-1780402500,d_v3_entry_high_atr_delta_neutral_atr_68.01_combined_1.02_spread_0.02_budget_mult_0.85,68.0143,0.5200,0.5000,0.8500,0.5000,25.5000,12.7500,24.51923077,12.7500,25.50000000
1780402679018,30,btc-updown-5m-1780402800,d_v3_entry_high_atr_delta_neutral_directional_atr_68.73_combined_1.02_spread_0.04_budget_mult_0.72,68.7286,0.5300,0.4900,0.7225,0.5000,21.6750,10.8375,20.44811321,10.8375,22.11734694
1780402979019,31,btc-updown-5m-1780403100,d_v3_entry_high_atr_delta_neutral_directional_atr_57.89_combined_1.02_spread_0.04_budget_mult_0.72,57.8857,0.5300,0.4900,0.7225,0.5000,21.6750,10.8375,20.44811321,10.8375,22.11734694
